dataset:Kindle
Epoch 4 	 TEST SET MAP: 0.0311, NDCG: 0.0488, PREC: 0.1134
Epoch 5 	 TEST SET MAP: 0.0311, NDCG: 0.0489, PREC: 0.1139
dataset:Amazon_App
Epoch 0 	 TEST SET MAP: 0.0309, NDCG: 0.0492, PREC: 0.1158
Epoch 1 	 TEST SET MAP: 0.0321, NDCG: 0.0502, PREC: 0.1159
Epoch 2 	 TEST SET MAP: 0.0318, NDCG: 0.0499, PREC: 0.1158
Epoch 3 	 TEST SET MAP: 0.0318, NDCG: 0.0500, PREC: 0.1163
Epoch 4 	 TEST SET MAP: 0.0314, NDCG: 0.0497, PREC: 0.1169
Epoch 5 	 TEST SET MAP: 0.0297, NDCG: 0.0480, PREC: 0.1149
dataset:Amazon_App
